SonarQube issues for isep-frontend (total: 290)

By rule (count):
  typescript:S6759: 110
  typescript:S6853: 63
  typescript:S7781: 24
  typescript:S3358: 17
  typescript:S7773: 16
  typescript:S3776: 8
  typescript:S7764: 7
  typescript:S6479: 6
  typescript:S7735: 5
  typescript:S4325: 5
  typescript:S1854: 4
  typescript:S3863: 4
  typescript:S1135: 2
  typescript:S6822: 2
  typescript:S7721: 2
  typescript:S4158: 2
  typescript:S6353: 1
  typescript:S6772: 1
  typescript:S2137: 1
  typescript:S6767: 1
  typescript:S6478: 1
  typescript:S4624: 1
  typescript:S1128: 1
  typescript:S2004: 1
  typescript:S7776: 1
  typescript:S7763: 1
  typescript:S2486: 1
  typescript:S2737: 1
  typescript:S6606: 1

--- All issues (severity | rule | file | line | message) ---
MINOR|typescript:S6759|src/app/meetings/[id]/agenda/[itemId]/feedback/FeedbackConsolidateView.tsx|29|Mark the props of the component as read-only.
MAJOR|typescript:S6853|src/app/meetings/[id]/agenda/[itemId]/feedback/FeedbackConsolidateView.tsx|127|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/meetings/[id]/agenda/[itemId]/feedback/FeedbackConsolidateView.tsx|140|A form label must be associated with a control.
MINOR|typescript:S6759|src/app/meetings/[id]/agenda/[itemId]/feedback/FeedbackSubmitForm.tsx|24|Mark the props of the component as read-only.
MAJOR|typescript:S6853|src/app/meetings/[id]/agenda/[itemId]/feedback/FeedbackSubmitForm.tsx|98|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/meetings/[id]/agenda/[itemId]/feedback/FeedbackSubmitForm.tsx|112|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/meetings/[id]/agenda/[itemId]/feedback/FeedbackSubmitForm.tsx|122|A form label must be associated with a control.
MINOR|typescript:S6759|src/app/meetings/[id]/agenda/[itemId]/feedback/consolidate/page.tsx|23|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/meetings/[id]/agenda/[itemId]/feedback/submit/page.tsx|23|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/meetings/[id]/agenda/[itemId]/page.tsx|24|Mark the props of the component as read-only.
MAJOR|typescript:S1854|src/app/meetings/[id]/agenda/[itemId]/page.tsx|29|Remove this useless assignment to variable "tab".
MINOR|typescript:S6759|src/app/meetings/[id]/agenda/new/page.tsx|21|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/meetings/[id]/documents/DocumentUploadForm.tsx|16|Mark the props of the component as read-only.
MAJOR|typescript:S6853|src/app/meetings/[id]/documents/DocumentUploadForm.tsx|72|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/meetings/[id]/documents/DocumentUploadForm.tsx|85|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/meetings/[id]/documents/DocumentUploadForm.tsx|97|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/meetings/[id]/documents/DocumentUploadForm.tsx|111|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/meetings/[id]/documents/DocumentUploadForm.tsx|127|A form label must be associated with a control.
MINOR|typescript:S6759|src/app/meetings/[id]/documents/upload/page.tsx|39|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/meetings/[id]/edit/EditMeetingForm.tsx|15|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/meetings/[id]/edit/page.tsx|28|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/meetings/[id]/live/agenda/[itemId]/page.tsx|12|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/meetings/[id]/live/interventions/new/InterventionForm.tsx|17|Mark the props of the component as read-only.
MAJOR|typescript:S6853|src/app/meetings/[id]/live/interventions/new/InterventionForm.tsx|63|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/meetings/[id]/live/interventions/new/InterventionForm.tsx|71|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/meetings/[id]/live/interventions/new/InterventionForm.tsx|76|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/meetings/[id]/live/interventions/new/InterventionForm.tsx|80|A form label must be associated with a control.
MINOR|typescript:S6759|src/app/meetings/[id]/live/interventions/new/page.tsx|29|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/meetings/[id]/live/page.tsx|38|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/meetings/[id]/outcomes/OutcomeForm.tsx|12|Mark the props of the component as read-only.
MAJOR|typescript:S6853|src/app/meetings/[id]/outcomes/OutcomeForm.tsx|54|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/meetings/[id]/outcomes/OutcomeForm.tsx|68|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/meetings/[id]/outcomes/OutcomeForm.tsx|78|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/meetings/[id]/outcomes/OutcomeForm.tsx|87|A form label must be associated with a control.
MINOR|typescript:S6759|src/app/meetings/[id]/outcomes/page.tsx|32|Mark the props of the component as read-only.
CRITICAL|typescript:S3776|src/app/meetings/[id]/page.tsx|117|Refactor this function to reduce its Cognitive Complexity from 35 to the 15 allowed.
MINOR|typescript:S6759|src/app/meetings/[id]/page.tsx|117|Mark the props of the component as read-only.
MAJOR|typescript:S3358|src/app/meetings/[id]/page.tsx|259|Extract this nested ternary operation into an independent statement.
MAJOR|typescript:S3358|src/app/meetings/[id]/page.tsx|261|Extract this nested ternary operation into an independent statement.
MINOR|typescript:S7781|src/app/meetings/[id]/page.tsx|327|Prefer `String#replaceAll()` over `String#replace()`.
MINOR|typescript:S6759|src/app/meetings/[id]/tasks/CreateTaskForm.tsx|16|Mark the props of the component as read-only.
MAJOR|typescript:S6853|src/app/meetings/[id]/tasks/CreateTaskForm.tsx|65|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/meetings/[id]/tasks/CreateTaskForm.tsx|77|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/meetings/[id]/tasks/CreateTaskForm.tsx|87|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/meetings/[id]/tasks/CreateTaskForm.tsx|104|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/meetings/[id]/tasks/CreateTaskForm.tsx|116|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/meetings/[id]/tasks/CreateTaskForm.tsx|126|A form label must be associated with a control.
MINOR|typescript:S6759|src/app/meetings/[id]/tasks/TaskDetailClient.tsx|24|Mark the props of the component as read-only.
MAJOR|typescript:S6853|src/app/meetings/[id]/tasks/TaskDetailClient.tsx|75|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/meetings/[id]/tasks/TaskDetailClient.tsx|85|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/meetings/[id]/tasks/TaskDetailClient.tsx|94|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/meetings/[id]/tasks/TaskDetailClient.tsx|110|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/meetings/[id]/tasks/TaskDetailClient.tsx|122|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/meetings/[id]/tasks/TaskDetailClient.tsx|131|A form label must be associated with a control.
MINOR|typescript:S6759|src/app/meetings/[id]/tasks/[taskId]/page.tsx|58|Mark the props of the component as read-only.
MINOR|typescript:S7781|src/app/meetings/[id]/tasks/[taskId]/page.tsx|87|Prefer `String#replaceAll()` over `String#replace()`.
MINOR|typescript:S6759|src/app/meetings/[id]/tasks/new/page.tsx|36|Mark the props of the component as read-only.
